Jahr,CDU/CSU,SPD,FDP,Die Grünen,Bündnis 90/Die Grünen,Die Linke. PDS,AfD,Sonstige
2021,24.1,25.7,11.5,,14.8,4.9,10.3,8.7
2017,32.9,20.5,10.7,,8.9,9.2,12.6,5
2013,41.5,25.7,4.8,,8.4,8.6,,11
2009,33.8,23,14.6,,10.7,11.9,,6
2005,35.2,34.2,9.8,,8.1,8.7,,4
2002,38.5,38.5,7.4,,8.6,4,,3
1998,35.2,40.9,6.2,,6.7,5.1,,5.9
1994,41.5,36.4,6.9,,7.3,4.4,,3.5
1990,43.8,33.5,11,3.8,1.2,2.4,,4.3
1987,44.3,37,9.1,8.3,,,,1.3
1983,48.8,38.2,7,5.6,,,,0.4
1980,44.5,42.9,10.6,1.5,,,,0.5
1976,48.6,42.6,7.9,,,,,0.9
1972,44.9,45.8,8.4,,,,,0.9
1969,46.1,42.7,5.8,,,,,5.5
1965,47.6,39.3,9.5,,,,,3.6
1961,45.3,36.2,12.8,,,,,5.7
1957,50.2,31.8,7.7,,,,,10.5
1953,45.2,28.8,9.5,,,,,16.5
1949,31,29.2,11.9,,,,,27.9
